#
#VizieRAstronomicalServervizier.u-strasbg.fr
#Date:2017-11-01T15:52:17[V1.99+(14-Oct-2013)]
#Incaseofproblem,pleasereportto:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5J2000
#INFO	votable-version=1.99+(14-Oct-2013)
#INFO	-ref=VIZ59f9e9f33715
#INFO	-out.max=9999
#INFO	queryParameters=38
#-oc.form=dec
#-out.max=9999
#-nav=cat:VI/137&tab:{VI/137/gum_mw}&key:source=VI/137/gum_mw&HTTPPRM:&
#-c.eq=J2000
#-c.r=2
#-c.u=arcmin
#-c.geom=r
#-source=VI/137/gum_mw
#-order=I
#-out=recno
#-out=ID
#-out=RA2kdeg
#-out=DE2kdeg
#-out=Pop
#-out=VMAG
#-out=Mbol
#-out=Gmag
#-out=GBmag
#-out=GRmag
#-out=Gsmag
#-out=RAJ2000
#-out=DEJ2000
#-out=r
#-out=pmRA
#-out=pmDE
#-out=RV
#-out=vsini
#-out=V-I
#-out=Av
#-out=Mass
#-out=Radius
#-out=Age
#-out=[Fe/H]
#-out=[a/Fe]
#-out=Teff
#-out=logg
#-out=fI
#-out=Vtype
#
#INFO	-c=000.000000-90.000000,rm=2.
#

#RESOURCE=yCat_6137
#Name:VI/137
#Title:GaiaSimuUniverseModelSnapshot(Robin+,2012)
#Coosys	J2000_2010.000:	eq_FK5J2000
#Table	VI_137_gum_mw:
#Name:VI/137/gum_mw
#Title:GaiaUniverseModelSnapshot(GUMS):MilkyWaystars(among2,143,475,885stars)
#Column	recno	(I10)	[1/2143475885]Originalrecordnumber	[ucd=meta.record]
#Column	ID	(a19)	sourceidentifier(sourceExtendedId)	[ucd=meta.id,meta.main]
#Column	RA2kdeg	(F14.10)	RightascensionICRS,Epoch=J2000(G1)	[ucd=pos.eq.ra]
#Column	DE2kdeg	(F14.10)	DeclinationICRS,Epoch=J2000(G1)	[ucd=pos.eq.dec]
#Column	Pop	(I2)	[1/3]?Stellarpopulationtheobjectbelongsto(population)[NULLintegerwrittenasanemptystring]	[ucd=meta.code,obs]
#Column	VMAG	(F6.3)	V-bandabsolutemagnitude(meanAbsoluteV)	[ucd=phot.mag]
#Column	Mbol	(F6.3)	Bolometricabsolutemagnitude(mbol)	[ucd=phys.magAbs.bol]
#Column	Gmag	(F6.3)	GaiaG-bandmagnitude(350-1050nm)(magG)	[ucd=phot.mag,em.opt]
#Column	GBmag	(F6.3)	GaiaGbpbandmagnitude(350-770nm)(magGBp)	[ucd=phot.mag,em.opt.B]
#Column	GRmag	(F6.3)	GaiaGrpbandmagnitude(650-1050nm)(magGRp)	[ucd=phot.mag,em.opt.R]
#Column	Gsmag	(F6.3)	GaiaGrvsmagnitude(860+/-28nm)(magGRvs)	[ucd=phot.mag,em.opt.I]
#Column	RAJ2000	(F14.10)	Rightascension(ICRS,Epoch=J2010)(alpha)	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(F14.10)	Declination(ICRS,Epoch=J2010)(delta)	[ucd=pos.eq.dec,meta.main]
#Column	r	(F7.1)	Barycentricdistance(distance)	[ucd=pos.distance,pos.heliocentric]
#Column	pmRA	(F9.3)	PropermotioninRA(*cos(DE))(muAlpha)	[ucd=pos.pm,pos.eq.ra]
#Column	pmDE	(F9.3)	PropermotioninDeclination(muDelta)	[ucd=pos.pm,pos.eq.dec]
#Column	RV	(F7.1)	Barycentricradialvelocity(radialVelocity)	[ucd=spect.dopplerVeloc,pos.heliocentric]
#Column	vsini	(F5.1)	Rotationalvelocity	[ucd=phys.veloc.rotat]
#Column	V-I	(F6.3)	IntrinsiccolorV-I(colorVminusI)	[ucd=phot.color,em.opt.V,em.opt.I]
#Column	Av	(F6.3)	Absorption(Av)	[ucd=phot.mag]
#Column	Mass	(F9.4)	Stellarmass(mass)	[ucd=phys.mass]
#Column	Radius	(E10.3)	Stellarradius(radius)	[ucd=pos.angDistance]
#Column	Age	(F6.3)	Estimatedage(age)	[ucd=time.age]
#Column	[Fe/H]	(F5.2)	Metallicity[Fe/H](feH)	[ucd=phys.abund.Z]
#Column	[a/Fe]	(F5.2)	{alpha}-elementsenhancement(alphaFe)	[ucd=phys.abund.Z]
#Column	Teff	(I6)	Effectivetemperature(teff)	[ucd=phys.temperature.effective]
#Column	logg	(F6.3)	Gravity(log)(logg)	[ucd=phys.gravity]
#Column	fI	(I1)	[0,1]1(true)ifinteractingwithacompanion(flagInteracting)	[ucd=meta.code.multip]
#Column	Vtype	(A4)	Variabilitytype(variabilityType)(2)	[ucd=meta.note]
,,deg,deg,,mag,mag,mag,mag,mag,mag,deg,deg,pc,mas/yr,mas/yr,km/s,km/s,mag,mag,Sun,Rsun,Gyr,[Sun],[Sun],K,[cm/s2],,
recno,ID,RA2kdeg,DE2kdeg,Pop,VMAG,Mbol,Gmag,GBmag,GRmag,Gsmag,RAJ2000,DEJ2000,r,pmRA,pmDE,RV,vsini,V-I,Av,Mass,Radius,Age,[Fe/H],[a/Fe],Teff,logg,fI,Vtype
1330558561,*200322997-000001,063.1564375904,-89.9690487852,1,10.300,8.761,15.729,16.846,14.623,14.116,063.2353745580,-89.9689266279,164.0,15.351,43.987,24.6,2.4,2.018,0.189,0.4700,4.000e-01,2.500,0.10,0.01,3606,4.840,0,
1330558562,*200322999-000002+,003.7909235938,-89.9929851779,1,5.596,4.791,16.263,16.782,15.561,15.249,003.8535534992,-89.9930020504,1181.3,2.760,-6.073,23.8,0.0,0.862,0.607,1.2700,0.000e+00,4.000,0.02,-0.04,0,0.000,0,
1330558563,*200322999-000002A,003.7918141544,-89.9929852191,1,5.600,4.800,16.272,16.785,15.577,15.268,003.8544465734,-89.9930020915,1181.3,2.761,-6.073,21.3,2.3,0.850,0.607,0.9300,1.200e+00,4.000,0.02,-0.04,5212,4.550,0,
1330558564,*200322999-000002B,003.7884878499,-89.9929850653,1,11.500,9.885,21.351,22.744,20.126,19.559,003.8511108767,-89.9930019381,1181.3,2.760,-6.073,22.5,2.2,2.259,0.607,0.3400,2.700e-01,4.000,0.02,-0.04,3412,4.940,0,
1330558565,*200323004-000002,029.9709106894,-89.9715327929,1,0.700,-0.553,11.347,12.094,10.459,10.061,030.0210838518,-89.9715230941,1380.8,8.974,3.496,5.5,10.5,1.330,0.434,1.2800,2.108e+01,6.000,0.02,0.01,4266,2.190,0,
1330558566,*200322997-000006+,045.3980951980,-89.9741200656,2,3.600,3.084,18.061,18.432,17.508,17.261,045.4230298381,-89.9741163898,6817.0,4.055,1.324,-9.4,0.0,0.634,0.488,0.9158,0.000e+00,11.000,0.42,-0.19,0,0.000,0,
1330558567,*200322997-000006A,045.3980952793,-89.9741200656,2,3.600,3.084,18.061,18.432,17.508,17.261,045.4230299194,-89.9741163898,6817.0,4.055,1.324,-9.4,19.9,0.634,0.488,0.9150,2.010e+00,11.000,0.42,-0.19,5984,3.970,0,
1330558568,E200322997-000006B,045.3980171747,-89.9741200802,2,32.580,28.580,40.000,40.000,39.531,39.430,045.4229518389,-89.9741164044,6817.0,4.055,1.324,-39.9,0.0,7.000,0.488,0.0008,1.000e-01,11.000,0.42,-0.19,5115,3.970,0,
1330558569,*200322997-000007,068.4306919656,-89.9736784774,2,3.800,3.313,18.750,19.113,18.206,17.963,068.4458570880,-89.9736729290,8232.9,2.508,1.998,101.7,14.6,0.589,0.562,0.9060,1.710e+00,11.000,-0.22,0.23,6152,4.096,0,
1330558574,*200322954-000004+,080.7683380846,-89.9717940305,1,5.500,4.729,15.747,16.223,15.086,14.792,080.8032198629,-89.9717481611,1015.4,6.182,16.515,-18.8,0.0,0.833,0.482,0.9414,0.000e+00,6.000,-0.16,0.02,0,0.000,0,
1330558575,*200322954-000004A,080.7683380194,-89.9717940310,1,5.500,4.729,15.747,16.223,15.086,14.792,080.8032197984,-89.9717481616,1015.4,6.182,16.515,-18.8,1.5,0.833,0.482,0.9400,1.210e+00,6.000,-0.16,0.02,5284,4.510,0,
1330558576,E200322954-000004B,080.7683963364,-89.9717936786,1,32.580,28.580,37.254,40.000,35.395,35.291,080.8032775941,-89.9717478092,1015.4,6.182,16.515,4.9,0.0,7.000,0.482,0.0014,1.000e-01,6.000,-0.16,0.02,2754,4.510,0,
1330558613,*200323004-000007,007.2012053994,-89.9736150506,3,5.400,4.804,19.506,19.881,18.950,18.701,007.1834699187,-89.9736250851,5801.0,-2.940,-3.612,171.6,6.5,0.641,0.486,0.7200,9.000e-01,14.000,-1.36,0.50,5998,4.576,0,
1350362027,*200322954-000001+,111.9456070240,-89.9778878209,1,7.584,6.272,18.791,19.588,17.868,17.454,111.9404808421,-89.9778819015,1772.9,-0.712,2.131,2.0,0.0,1.389,0.495,0.9600,0.000e+00,2.500,-0.11,0.05,0,0.000,0,
1350362028,*200322954-000001A,111.9556002433,-89.9778850130,1,7.600,6.293,18.819,19.603,17.906,17.496,111.9504720379,-89.9778790940,1772.9,-0.713,2.131,2.7,2.2,1.365,0.495,0.6900,9.000e-01,2.500,-0.11,0.05,4266,4.640,0,
1350362029,*200322954-000001B,111.9200572526,-89.9778949965,1,12.200,10.544,22.764,24.212,21.520,20.942,111.9149362478,-89.9778890763,1772.9,-0.711,2.131,0.1,1.8,2.381,0.495,0.2700,2.100e-01,2.500,-0.11,0.05,3311,4.990,0,
